;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 2/12/2016 2:51:35 PM
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0x2CAC      	GOTO       1196
_interrupt:
0x0004	0x00FF      	MOVWF      R15
0x0005	0x0E03      	SWAPF      STATUS, 0
0x0006	0x0183      	CLRF       STATUS
0x0007	0x1683      	BSF        STATUS, 5
0x0008	0x00C0      	MOVWF      ___saveSTATUS
0x0009	0x080A      	MOVF       PCLATH, 0
0x000A	0x00C1      	MOVWF      ___savePCLATH
0x000B	0x018A      	CLRF       PCLATH
0x000C	0x0870      	MOVF       R0, 0
0x000D	0x1283      	BCF        STATUS, 5
0x000E	0x00A5      	MOVWF      37
0x000F	0x0871      	MOVF       R1, 0
0x0010	0x00A4      	MOVWF      36
0x0011	0x087B      	MOVF       R11, 0
0x0012	0x00A3      	MOVWF      35
0x0013	0x087C      	MOVF       R12, 0
0x0014	0x00A2      	MOVWF      34
0x0015	0x087D      	MOVF       R13, 0
0x0016	0x00A1      	MOVWF      33
;auto.c,216 :: 		void interrupt(){
;auto.c,217 :: 		unsigned long duration = 0;
0x0017	0x1683      	BSF        STATUS, 5
0x0018	0x01C8      	CLRF       interrupt_duration_L0
0x0019	0x01C9      	CLRF       interrupt_duration_L0+1
0x001A	0x01CA      	CLRF       interrupt_duration_L0+2
0x001B	0x01CB      	CLRF       interrupt_duration_L0+3
;auto.c,220 :: 		if(INTCON.RBIF){
0x001C	0x1C0B      	BTFSS      INTCON, 0
0x001D	0x289C      	GOTO       L_interrupt27
;auto.c,221 :: 		T1CON.TMR1ON = 1;       // ON Counter
0x001E	0x1283      	BCF        STATUS, 5
0x001F	0x1410      	BSF        T1CON, 0
;auto.c,222 :: 		while(Echo == 1);
L_interrupt28:
0x0020	0x1F06      	BTFSS      PORTB, 6
0x0021	0x2823      	GOTO       L_interrupt29
0x0022	0x2820      	GOTO       L_interrupt28
L_interrupt29:
;auto.c,223 :: 		T1CON.TMR1ON = 0;
0x0023	0x1010      	BCF        T1CON, 0
;auto.c,224 :: 		TMR = (unsigned int) TMR1H << 8;
0x0024	0x080F      	MOVF       TMR1H, 0
